        Frequency / GHz                Rad. Efficiency [1]/abs,dB
               36.758389                      -4.7872969
               36.825503                      -4.8083884
               36.838384                      -4.8108964
               36.892617                      -4.8155617
               36.939394                      -4.8115928
               36.959732                      -4.8074565
               37.026846                      -4.7831884
               37.040404                      -4.7763206
                37.09396                      -4.7427548
               37.141414                      -4.7048522
               37.161074                      -4.6870264
               37.228188                      -4.6176229
               37.242424                      -4.6013408
               37.295302                      -4.5366958
               37.343434                      -4.4728598
               37.362416                      -4.4465672
                37.42953                      -4.3493933
               37.444444                      -4.3270145
               37.496644                      -4.2469441
               37.545455                      -4.1699208
               37.563758                       -4.140581
               37.630872                       -4.031158
               37.646465                      -4.0053383
               37.697987                      -3.9191154
               37.747475                      -3.8349735
               37.765101                      -3.8047008
               37.832215                      -3.6880703
               37.848485                      -3.6594811
               37.899329                      -3.5694067
               37.949495                      -3.4795729
               37.966443                      -3.4490296
                      38                      -3.3883906
               38.033557                      -3.3275075
               38.050505                      -3.2967335
               38.100671                      -3.2055624
               38.151515                      -3.1133989
               38.167785                      -3.0840218
               38.234899                      -2.9638473
               38.252525                      -2.9326368
               38.302013                      -2.8459879
               38.353535                      -2.7576169
               38.369128                      -2.7313127
               38.436242                      -2.6205918
               38.454545                      -2.5911788
               38.503356                      -2.5145367
               38.555556                      -2.4356379
                38.57047                      -2.4137278
               38.637584                      -2.3186317
               38.656566                      -2.2928402
               38.704698                      -2.2297347
               38.757576                      -2.1643474
               38.771812                      -2.1474734
               38.838926                      -2.0722517
               38.858586                      -2.0516076
                38.90604                       -2.004466
               38.959596                      -1.9559912
               38.973154                      -1.9445145
               39.040268                      -1.8927083
               39.060606                      -1.8786457
               39.107383                      -1.8492307
               39.161616                      -1.8202711
               39.174497                       -1.814194
               39.241611                      -1.7875301
               39.262626                       -1.780861
               39.308725                       -1.768984
               39.363636                      -1.7595718
               39.375839                      -1.7581556
               39.442953                      -1.7545343
               39.464646                      -1.7547986
               39.510067                      -1.7574964
               39.565657                      -1.7644383
               39.577181                      -1.7663549
               39.644295                      -1.7804822
               39.666667                       -1.786255
               39.711409                      -1.7992677
               39.767677                      -1.8181985
               39.778523                      -1.8221572
               39.845638                      -1.8486672
               39.868687                      -1.8585303
               39.912752                      -1.8783489
               39.969697                      -1.9056627
               39.979866                       -1.910718
                40.04698                      -1.9451912
               40.070707                      -1.9577581
               40.114094                      -1.9810562
               40.171717                      -2.0122602
               40.181208                      -2.0173853
               40.248322                      -2.0530338
               40.272727                       -2.065573
               40.315436                      -2.0866707
               40.373737                      -2.1131245
                40.38255                      -2.1168338
               40.449664                      -2.1420377
               40.474747                      -2.1498998
               40.516779                      -2.1609011
               40.575758                      -2.1713065
               40.583893                      -2.1722501
               40.651007                      -2.1752199
               40.676768                      -2.1740184
               40.718121                      -2.1692946
               40.777778                      -2.1563719
               40.785235                      -2.1542502
               40.852349                      -2.1300564
               40.878788                      -2.1180201
               40.919463                      -2.0967397
               40.979798                      -2.0589339
               40.986577                      -2.0542223
               41.053691                      -2.0021251
               41.080808                      -1.9782052
               41.120805                      -1.9397545
               41.181818                      -1.8733265
               41.187919                      -1.8661394
               41.255034                      -1.7801147
               41.282828                      -1.7405882
               41.322148                       -1.680611
               41.383838                      -1.5767323
               41.389262                      -1.5670122
               41.456376                      -1.4394868
               41.484848                      -1.3814152
                41.52349                      -1.2991866
               41.585859                      -1.1594468
               41.590604                      -1.1485021
               41.657718                     -0.99106544
               41.686869                       -0.921703
               41.724832                     -0.83143791
               41.787879                     -0.68419512
               41.791946                     -0.67489882
                41.85906                     -0.52709028
               41.888889                     -0.46566932
               41.926174                     -0.39359519
               41.989899                     -0.28468951
               41.993289                     -0.27949803
               42.060403                     -0.18923714
               42.090909                     -0.15711535
               42.127517                     -0.12644164
               42.191919                    -0.094271317
               42.194631                    -0.093560955
               42.261745                    -0.091993854
               42.292929                      -0.1020756
               42.328859                     -0.12207443
               42.393939                     -0.18073756
               42.395973                     -0.18302165
               42.463087                     -0.27291904
               42.494949                     -0.32498557
               42.530201                     -0.38899297
                42.59596                     -0.52484099
               42.597315                      -0.5278334
                42.66443                     -0.68527508
                42.69697                     -0.76701748
               42.731544                     -0.85699646
                42.79798                      -1.0369629
               42.798658                      -1.0388251
               42.865772                      -1.2269199
                42.89899                      -1.3212431
               42.932886                       -1.417981
                      43                      -1.6095724

