        Frequency / GHz                Max Gain over Frequency/real
               40.986577                       9.2989117
               41.053691                       9.3366451
               41.080808                       9.3483041
               41.120805                       9.3613574
               41.181818                       9.3714758
               41.187919                       9.3718235
               41.255034                       9.3677142
               41.282828                       9.3618088
               41.322148                       9.3493286
               41.383838                       9.3203297
               41.389262                       9.3172972
               41.456376                       9.2723276
               41.484848                       9.2495349
                41.52349                       9.2151333
               41.585859                       9.1511426
               41.590604                       9.1458826
               41.657718                       9.0641316
               41.686869                       9.0245588
               41.724832                       8.9746849
               41.787879                       8.9084992
               41.791946                       8.9038643
                41.85906                       8.8204398
               41.888889                       8.7789458
               41.926174                       8.7230305
               41.989899                        8.616622
               41.993289                       8.6105819
               42.060403                       8.4825283
               42.090909                       8.4289156
               42.127517                       8.3837394
               42.191919                       8.2952469
               42.194631                       8.2913005
               42.261745                       8.1878641
               42.292929                       8.1367301
               42.328859                       8.1130401
               42.393939                       8.0762473
               42.395973                       8.0750572
               42.463087                        8.035594
               42.494949                       8.0547154
               42.530201                       8.0763295
                42.59596                        8.118332
               42.597315                       8.1192279
                42.66443                       8.1765056
                42.69697                       8.2264123
               42.731544                       8.2781656
                42.79798                       8.3715271
               42.798658                       8.3724409
               42.865772                       8.4537767
                42.89899                       8.4875194
               42.932886                       8.5163782
                      43                       8.5553928

